description,severity
harassment reported at mall. Minor damage occurred.,Moderate
parking violation at neighborhood. Small value items involved.,Moderate
petty theft reported at school. Minor damage occurred.,Moderate
May nangyayaring assault sa apartment. Kailangan ng emergency response.,Immediate
May reklamo ng ingay sa park. Maingay na musika mula sa kapitbahay.,Low
May reklamo ng gulo sa paaralan. Walang agarang panganib.,Moderate
"May tanong tungkol sa karaniwan sa mall. Hiling ng impormasyon, hindi kagyatan.",Low
"routine at park. Minor violation, no threat.",Low
Organized fraud at kanto. Major investigation underway.,High
May malaking kaso ng karahasan sa mall. Maraming biktima ang apektado.,High
"May isyu ng away sa barangay. Karaniwang bagay, walang kagyatan.",Moderate
Noise complaint at kanto. Loud music from neighbor.,Low
terrorist incident at neighborhood. Suspect still present and armed.,Immediate
May organisadong lagayan sa palengke. Malaking imbestigasyon ang isinasagawa.,High
May nangyayaring pagpatay sa apartment. Kailangan ng emergency response.,Immediate
"May natagpuang gamit sa kapitbahayan. Nakuha ang gamit, walang suspetsado.",Low
May nakaw sa komersyal na distrito. Non-violent na insidente ang naganap.,Moderate
General minor violation at market. No immediate action needed.,Low
"Serious corruption reported at building. Victim hospitalized, investigation ongoing.",High
"May natagpuang gamit sa komersyal na distrito. Nakuha ang gamit, walang suspetsado.",Low
theft at kapitbahayan. Small value items involved.,Moderate
kidnap in progress at mall. Suspect actively harming victim.,Immediate
May paglabag sa parking sa paaralan. Mali ang pag-park ng sasakyan.,Low
"May nakawin sa kapitbahayan. Verbal na insidente, walang pisikal na pinsala.",Moderate
pamamaril attack in progress at church. People trapped inside.,Immediate
Ongoing rape at apartment. Multiple victims involved.,Immediate
saksak in progress at street corner. Suspect actively harming victim.,Immediate
May nangyayaring assault sa gusali. Kailangan ng emergency response.,Immediate
May patuloy na stabbing sa residential area. Maraming biktima ang kasama.,Immediate
"May nakaw sa paaralan. Nakatakas ang suspetsado, walang biktima.",Moderate
Noise complaint at building. Loud music from neighbor.,Low
"May natuklasang holdapin sa paaralan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
Organized sexual assault at kapitbahayan. Major investigation underway.,High
"May tanong tungkol sa karaniwan sa community center. Hiling ng impormasyon, hindi kagyatan.",Low
"May kaso ng karahasan sa park. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
saksak in progress at residential area. Suspect actively harming victim.,Immediate
disturbance at building. Non-violent incident occurred.,Moderate
trespassing situation at market. Property maintenance needed.,Moderate
"attack discovered at school. Evidence collected, suspect identified.",High
"May nakaraang holdapin sa park. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
Active rape happening at apartment. Victim in immediate danger.,Immediate
May aktibong hostage na krimen sa simbahan. Nandiyan pa ang mga suspetsado.,Immediate
May away na kaguluhan sa paaralan. Umalis ang suspetsado sa lugar.,Moderate
shoplifting situation at community center. Property maintenance needed.,Moderate
"disturbance at street corner. Verbal incident, no physical harm.",Moderate
Active terorista happening at market. Victim in immediate danger.,Immediate
May organisadong pamamaril sa apartment. Malaking imbestigasyon ang isinasagawa.,High
Major rape case at market. Multiple victims affected.,High
"kidnap incident at kanto. Large quantity involved, investigation required.",High
May naganap na kotongan sa komersyal na distrito. Nakatakas ang suspetsado.,High
May suspetsado na may saksakin na nagbabanta sa mga tao sa residential area. Aktibong banta.,Immediate
Ongoing pamamaril at school. Multiple victims involved.,Immediate
"routine at building. Non-violent incident, low priority.",Low
disorderly situation at kanto. Property maintenance needed.,Moderate
"May natagpuang gamit sa kanto. Nakuha ang gamit, walang suspetsado.",Low
Parking violation at community center. Vehicle parked incorrectly.,Low
bomb happening now at street corner. Victims need immediate help.,Immediate
"routine at park. Minor violation, no threat.",Low
"May natuklasang pusher sa park. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May sitwasyon ng guluhin sa simbahan. Kailangan ng pag-aayos ng ari-arian.,Moderate
noise incident at residential area. Situation resolved peacefully.,Moderate
vandalism reported at community center. Minor damage occurred.,Moderate
Active karahasan situation at kanto. Immediate response required.,Immediate
May seryosong droga na operasyon sa community center. Malaking pinsala ang naganap.,High
In-progress baril at neighborhood. Emergency response needed.,Immediate
theft situation at mall. Property maintenance needed.,Moderate
May routine check sa paaralan. Kailangan ng administrative service.,Low
May aktibong terrorist na krimen sa kanto. Nandiyan pa ang mga suspetsado.,Immediate
May seryosong karahasan na operasyon sa kanto. Malaking pinsala ang naganap.,High
assault occurred at park. Suspect fled the scene.,High
pumatay attack in progress at residential area. People trapped inside.,Immediate
Ongoing pagpatay at park. Multiple victims involved.,Immediate
May guluhin sa barangay. Non-violent na insidente ang naganap.,Moderate
Suspect with murder threatening people at commercial district. Active threat.,Immediate
"Past extortion at church. Suspects at large, investigation needed.",High
May insidente ng stabbing sa community center. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May maliit na paglabag sa simbahan. Maliit na paglabag, walang banta.",Low
Parking violation at church. Vehicle parked incorrectly.,Low
"maintenance at school. Minor violation, no threat.",Low
May nakaw sa mall. Non-violent na insidente ang naganap.,Moderate
"Serious drug trafficking reported at neighborhood. Victim hospitalized, investigation ongoing.",High
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
"gang violence case at market. Victim rescued, suspects arrested.",High
May ingay sa komersyal na distrito. Maliit na halaga ng gamit ang kasama.,Moderate
May patuloy na bomb sa community center. Maraming biktima ang kasama.,Immediate
breaking and entering incident at kanto. Situation resolved peacefully.,Moderate
"May pananakot sa paaralan. Verbal na insidente, walang pisikal na pinsala.",Moderate
May aktibong kill na sitwasyon sa community center. Kailangan ng agad na tugon.,Immediate
May maliit na karaniwan sa kanto. Kailangan ng karaniwang pag-aayos.,Low
May reklamo ng ingay sa kapitbahayan. Maingay na musika mula sa kapitbahay.,Low
May awayin na kaguluhan sa kapitbahayan. Umalis ang suspetsado sa lugar.,Moderate
"May isyu ng guluhin sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Moderate
May suspetsado na may violence na nagbabanta sa mga tao sa palengke. Aktibong banta.,Immediate
May aktibong rapein na nangyayari sa komersyal na distrito. Nasa agarang panganib ang biktima.,Immediate
May nangyayaring bomba sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May naiulat na pananakot sa kanto. Maliit na pinsala ang naganap.,Moderate
"lost property issue at building. General inquiry, non-emergency.",Low
Suspect with murder threatening people at barangay. Active threat.,Immediate
pamamaril happening now at barangay. Victims need immediate help.,Immediate
"parking issue at church. General inquiry, non-emergency.",Low
"May isyu ng pag-aayos sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
harassment situation at neighborhood. Property maintenance needed.,Moderate
Noise complaint at residential area. Loud music from neighbor.,Low
pagpatay attack in progress at community center. People trapped inside.,Immediate
theft at park. Small value items involved.,Moderate
"trespassing at market. Verbal incident, no physical harm.",Moderate
May nangyayaring shooting sa komersyal na distrito. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May naiulat na nakaw sa komersyal na distrito. Maliit na pinsala ang naganap.,Moderate
"May isyu ng pananakot sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Moderate
May reklamo ng ingay sa community center. Maingay na musika mula sa kapitbahay.,Low
"May kaso ng pamamaril sa palengke. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
gun attack in progress at market. People trapped inside.,Immediate
"May natuklasang rapein sa komersyal na distrito. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May aktibong violence na nangyayari sa gusali. Nasa agarang panganib ang biktima.,Immediate
"loitering issue at barangay. Routine matter, no urgency.",Moderate
"smuggling discovered at street corner. Evidence collected, suspect identified.",High
Routine check at kanto. Administrative service needed.,Low
Active saksak happening at school. Victim in immediate danger.,Immediate
"general complaint at park. Routine matter, no urgency.",Low
May nakawin na kaguluhan sa barangay. Umalis ang suspetsado sa lugar.,Moderate
"May reklamo ng pag-aayos sa community center. Karaniwang bagay, walang kagyatan.",Low
"noise at kapitbahayan. Minor violation, no threat.",Low
"maintenance at community center. Non-violent incident, low priority.",Low
May routine check sa kapitbahayan. Kailangan ng administrative service.,Low
"assault case at school. Victim rescued, suspects arrested.",High
bomba happening now at community center. Victims need immediate help.,Immediate
"May reklamo ng karaniwan sa residential area. Karaniwang bagay, walang kagyatan.",Low
May takutan sa simbahan. Non-violent na insidente ang naganap.,Moderate
"found property at market. Minor violation, no threat.",Low
petty theft complaint at kapitbahayan. No immediate danger.,Moderate
disturbance at park. Small value items involved.,Moderate
bomba happening now at mall. Victims need immediate help.,Immediate
"rape incident at building. Large quantity involved, investigation required.",High
May aktibong gun na nangyayari sa kanto. Nasa agarang panganib ang biktima.,Immediate
Ongoing pamamaril at park. Multiple victims involved.,Immediate
"May isyu ng gulo sa apartment. Karaniwang bagay, walang kagyatan.",Moderate
"Past fraud at residential area. Suspects at large, investigation needed.",High
May sitwasyon ng guluhin sa park. Kailangan ng pag-aayos ng ari-arian.,Moderate
baril attack in progress at church. People trapped inside.,Immediate
May ulat ng reklamo sa kanto. Para lamang sa insurance.,Low
noise reported at barangay. Minor damage occurred.,Moderate
routine report at kapitbahayan. For insurance purposes only.,Low
May nakawin na kaguluhan sa kanto. Umalis ang suspetsado sa lugar.,Moderate
"May isyu ng reklamo sa gusali. Pangkalahatang tanong, hindi emergency.",Low
May maliit na tanong sa palengke. Kailangan ng karaniwang pag-aayos.,Low
May suspetsado na may assault na nagbabanta sa mga tao sa apartment. Aktibong banta.,Immediate
terrorist incident at park. Suspect still present and armed.,Immediate
May organisadong korupsyon sa simbahan. Malaking imbestigasyon ang isinasagawa.,High
Serious kidnap operation at mall. Significant damage occurred.,High
extortion that occurred at kapitbahayan. Suspects fled before police arrival.,High
vandalism at park. Small value items involved.,Moderate
Routine check at kapitbahayan. Administrative service needed.,Low
"gang violence case at neighborhood. Victim rescued, suspects arrested.",High
"fight at commercial district. Verbal incident, no physical harm.",Moderate
shoplifting disturbance at market. Suspect left the area.,Moderate
Serious attack operation at community center. Significant damage occurred.,High
"complaint complaint at mall. Routine matter, no urgency.",Low
pumatay attack in progress at mall. People trapped inside.,Immediate
May insidente ng magnanakaw sa gusali. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"theft issue at neighborhood. Routine matter, no urgency.",Moderate
"Found property at kapitbahayan. Item recovered, no suspect.",Low
"May nakaraang lagay sa park. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May insidente ng hostage sa community center. May armas pa ang suspetsado at nandiyan pa.,Immediate
May paglabag sa parking sa kapitbahayan. Mali ang pag-park ng sasakyan.,Low
May insidente ng rape sa apartment. May armas pa ang suspetsado at nandiyan pa.,Immediate
Active stabbing crime at market. Suspects still at scene.,Immediate
general report at building. For insurance purposes only.,Low
"May pananakot sa kapitbahayan. Nakatakas ang suspetsado, walang biktima.",Moderate
May insidente ng ingay sa community center. Na-resolve nang mapayapa ang sitwasyon.,Moderate
shoplifting disturbance at park. Suspect left the area.,Moderate
May suspetsado na may baril na nagbabanta sa mga tao sa gusali. Aktibong banta.,Immediate
May pamamaril na naganap sa park. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
Active hostage happening at commercial district. Victim in immediate danger.,Immediate
Active saksakin situation at community center. Immediate response required.,Immediate
vandalism at residential area. Small value items involved.,Moderate
"complaint at neighborhood. Minor violation, no threat.",Low
May reklamo ng ingay sa residential area. Maingay na musika mula sa kapitbahay.,Low
"May tanong tungkol sa natagpuang gamit sa kapitbahayan. Hiling ng impormasyon, hindi kagyatan.",Low
parking violation incident at barangay. Situation resolved peacefully.,Moderate
fight complaint at kapitbahayan. No immediate danger.,Moderate
May malaking kaso ng droga sa apartment. Maraming biktima ang apektado.,High
Major assault case at apartment. Multiple victims affected.,High
"May gulo sa kapitbahayan. Verbal na insidente, walang pisikal na pinsala.",Moderate
May nangyayaring pagpatay sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
petty theft at church. Non-violent incident occurred.,Moderate
Parking violation at mall. Vehicle parked incorrectly.,Low
May aktibong terorista na sitwasyon sa community center. Kailangan ng agad na tugon.,Immediate
May nangyayaring saksakin sa komersyal na distrito. Kailangan ng emergency response.,Immediate
May nakawin na kaguluhan sa apartment. Umalis ang suspetsado sa lugar.,Moderate
saksakin incident at school. Suspect still present and armed.,Immediate
terorista in progress at neighborhood. Suspect actively harming victim.,Immediate
"May natagpuang gamit sa apartment. Maliit na paglabag, walang banta.",Low
"May tanong tungkol sa pag-aayos sa kapitbahayan. Hiling ng impormasyon, hindi kagyatan.",Low
"shoplifting at neighborhood. Verbal incident, no physical harm.",Moderate
loitering incident at kanto. Situation resolved peacefully.,Moderate
May magnanakaw na kaguluhan sa kapitbahayan. Umalis ang suspetsado sa lugar.,Moderate
May insidente ng rape sa community center. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
Minor lost property at community center. Routine maintenance needed.,Low
May magnanakaw na kaguluhan sa residential area. Umalis ang suspetsado sa lugar.,Moderate
"May reklamo sa community center. Maliit na paglabag, walang banta.",Low
May seryosong kidnapin na operasyon sa gusali. Malaking pinsala ang naganap.,High
May takutan sa gusali. Maliit na halaga ng gamit ang kasama.,Moderate
disorderly situation at park. Property maintenance needed.,Moderate
May suspetsado na may kidnapin na nagbabanta sa mga tao sa barangay. Aktibong banta.,Immediate
May maliit na nawawalang gamit sa residential area. Kailangan ng karaniwang pag-aayos.,Low
"May insidente ng kotongan sa gusali. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"minor violation at apartment. Non-violent incident, low priority.",Low
"question at residential area. Minor violation, no threat.",Low
routine report at kanto. For insurance purposes only.,Low
May reklamo ng ingay sa paaralan. Maingay na musika mula sa kapitbahay.,Low
Major shooting case at kanto. Multiple victims affected.,High
Active gun crime at kapitbahayan. Suspects still at scene.,Immediate
"maintenance at neighborhood. Minor violation, no threat.",Low
"May tanong tungkol sa natagpuang gamit sa park. Hiling ng impormasyon, hindi kagyatan.",Low
Parking violation at apartment. Vehicle parked incorrectly.,Low
"minor violation complaint at barangay. Routine matter, no urgency.",Low
May insidente ng nakaw sa paaralan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
Organized drug dealing at church. Major investigation underway.,High
"smuggling case at market. Victim rescued, suspects arrested.",High
May patuloy na pagpatay sa mall. Maraming biktima ang kasama.,Immediate
"Found property at community center. Item recovered, no suspect.",Low
"May natagpuang gamit sa residential area. Nakuha ang gamit, walang suspetsado.",Low
"sexual assault incident at apartment. Large quantity involved, investigation required.",High
drug cartel occurred at market. Suspect fled the scene.,High
May organisadong kidnapin sa kanto. Malaking imbestigasyon ang isinasagawa.,High
"Serious kidnap reported at residential area. Victim hospitalized, investigation ongoing.",High
terrorist in progress at community center. Suspect actively harming victim.,Immediate
May seryosong smugglin na operasyon sa community center. Malaking pinsala ang naganap.,High
breaking and entering at commercial district. Small value items involved.,Moderate
Active bomb crime at street corner. Suspects still at scene.,Immediate
May routine check sa simbahan. Kailangan ng administrative service.,Low
parking violation incident at kapitbahayan. Situation resolved peacefully.,Moderate
May insidente ng away sa gusali. Na-resolve nang mapayapa ang sitwasyon.,Moderate
loitering situation at kanto. Property maintenance needed.,Moderate
May aktibong gun na nangyayari sa kapitbahayan. Nasa agarang panganib ang biktima.,Immediate
"May nakaw sa kapitbahayan. Nakatakas ang suspetsado, walang biktima.",Moderate
"May kaso ng kidnapin sa apartment. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
Lost property report at apartment. Item turned in for safekeeping.,Low
May insidente ng nakaw sa residential area. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May tanong tungkol sa natagpuang gamit sa gusali. Hiling ng impormasyon, hindi kagyatan.",Low
"May natuklasang droga sa mall. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"May insidente ng pagpatay sa gusali. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"routine inquiry at apartment. Information request, not urgent.",Low
"property complaint at building. Routine matter, no urgency.",Low
May insidente ng kidnapin sa paaralan. May armas pa ang suspetsado at nandiyan pa.,Immediate
May nangyayaring violence sa park. Kailangan ng emergency response.,Immediate
"shoplifting at mall. Verbal incident, no physical harm.",Moderate
rape attack in progress at school. People trapped inside.,Immediate
bomba in progress at neighborhood. Suspect actively harming victim.,Immediate
General routine at barangay. No immediate action needed.,Low
rape that occurred at market. Suspects fled before police arrival.,High
May pag-atake ng terrorist na nangyayari sa komersyal na distrito. Naipit ang mga tao sa loob.,Immediate
"May natuklasang kotong sa park. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
murder occurred at residential area. Suspect fled the scene.,High
May seryosong rapein na operasyon sa kapitbahayan. Malaking pinsala ang naganap.,High
smuggling occurred at market. Suspect fled the scene.,High
Serious human trafficking operation at apartment. Significant damage occurred.,High
May aktibong weapon na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
pamamaril incident at community center. Suspect still present and armed.,Immediate
terrorist attack in progress at kanto. People trapped inside.,Immediate
"minor violation complaint at kapitbahayan. Routine matter, no urgency.",Low
May maliit na reklamo sa kapitbahayan. Kailangan ng karaniwang pag-aayos.,Low
May malaking kaso ng droga sa community center. Maraming biktima ang apektado.,High
"May nakaraang kotong sa palengke. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May aktibong bomba na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
May patuloy na saksakin sa park. Maraming biktima ang kasama.,Immediate
corruption that occurred at market. Suspects fled before police arrival.,High
"Serious gang violence reported at school. Victim hospitalized, investigation ongoing.",High
Organized murder at apartment. Major investigation underway.,High
May seryosong pusher na operasyon sa paaralan. Malaking pinsala ang naganap.,High
May paglabag sa parking sa park. Mali ang pag-park ng sasakyan.,Low
fight situation at building. Property maintenance needed.,Moderate
"found property issue at street corner. General inquiry, non-emergency.",Low
May insidente ng ingay sa kanto. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May isyu ng pag-aayos sa gusali. Pangkalahatang tanong, hindi emergency.",Low
stabbing incident at mall. Suspect still present and armed.,Immediate
"May natagpuang gamit sa komersyal na distrito. Nakuha ang gamit, walang suspetsado.",Low
May naganap na lagayan sa kapitbahayan. Nakatakas ang suspetsado.,High
"Found property at mall. Item recovered, no suspect.",Low
May organisadong kotongan sa simbahan. Malaking imbestigasyon ang isinasagawa.,High
Organized bribery at barangay. Major investigation underway.,High
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
May aktibong karahasan na nangyayari sa apartment. Nasa agarang panganib ang biktima.,Immediate
attack occurred at street corner. Suspect fled the scene.,High
May nakawin sa barangay. Maliit na halaga ng gamit ang kasama.,Moderate
baril happening now at barangay. Victims need immediate help.,Immediate
"question at kanto. Non-violent incident, low priority.",Low
Parking violation at kapitbahayan. Vehicle parked incorrectly.,Low
"complaint at neighborhood. Non-violent incident, low priority.",Low
noise complaint at kanto. No immediate danger.,Moderate
May insidente ng violence sa barangay. May armas pa ang suspetsado at nandiyan pa.,Immediate
May reklamo ng ingay sa palengke. Maingay na musika mula sa kapitbahay.,Low
May suspetsado na may pumatay na nagbabanta sa mga tao sa komersyal na distrito. Aktibong banta.,Immediate
Major corruption case at residential area. Multiple victims affected.,High
May pangkalahatang reklamo sa park. Walang kagyat na aksyon na kailangan.,Low
Active rapein happening at commercial district. Victim in immediate danger.,Immediate
Active attack crime at park. Suspects still at scene.,Immediate
shooting that occurred at kapitbahayan. Suspects fled before police arrival.,High
Minor minor violation at street corner. Routine maintenance needed.,Low
Active bomb happening at residential area. Victim in immediate danger.,Immediate
May ingay na kaguluhan sa residential area. Umalis ang suspetsado sa lugar.,Moderate
Major drug dealing case at kapitbahayan. Multiple victims affected.,High
trespassing disturbance at community center. Suspect left the area.,Moderate
General noise at neighborhood. No immediate action needed.,Low
hostage attack in progress at commercial district. People trapped inside.,Immediate
May pag-atake ng terorista na nangyayari sa paaralan. Naipit ang mga tao sa loob.,Immediate
Serious bribery operation at church. Significant damage occurred.,High
pagpatay happening now at building. Victims need immediate help.,Immediate
May takutan sa gusali. Maliit na halaga ng gamit ang kasama.,Moderate
"trespassing at market. Verbal incident, no physical harm.",Moderate
pagpatay incident at building. Suspect still present and armed.,Immediate
Active bomb crime at mall. Suspects still at scene.,Immediate
"Past drug trafficking at kapitbahayan. Suspects at large, investigation needed.",High
May nangyayaring bomba sa kapitbahayan. Kailangan ng emergency response.,Immediate
May suspetsado na may hostage na nagbabanta sa mga tao sa barangay. Aktibong banta.,Immediate
May holdap na naganap sa barangay. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"May guluhin sa park. Nakatakas ang suspetsado, walang biktima.",Moderate
May attack na nangyayari ngayon sa simbahan. Kailangan ng agad na tulong ang mga biktima.,Immediate
Suspect with baril threatening people at park. Active threat.,Immediate
May karahasan na naganap sa paaralan. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May naganap na lagayan sa community center. Nakatakas ang suspetsado.,High
May organisadong kidnapin sa kapitbahayan. Malaking imbestigasyon ang isinasagawa.,High
Suspect with kill threatening people at commercial district. Active threat.,Immediate
saksakin happening now at school. Victims need immediate help.,Immediate
"Serious murder reported at mall. Victim hospitalized, investigation ongoing.",High
"Found property at street corner. Item recovered, no suspect.",Low
"maintenance complaint at residential area. Routine matter, no urgency.",Low
noise situation at park. Property maintenance needed.,Moderate
May magnanakaw sa barangay. Maliit na halaga ng gamit ang kasama.,Moderate
May malaking kaso ng kotong sa kapitbahayan. Maraming biktima ang apektado.,High
May sitwasyon ng ingay sa palengke. Kailangan ng pag-aayos ng ari-arian.,Moderate
May nangyayaring stabbing sa park. Kailangan ng emergency response.,Immediate
May naiulat na away sa park. Maliit na pinsala ang naganap.,Moderate
May naganap na karahasan sa simbahan. Nakatakas ang suspetsado.,High
"noise issue at neighborhood. Routine matter, no urgency.",Moderate
May malaking kaso ng karahasan sa gusali. Maraming biktima ang apektado.,High
May sitwasyon ng pananakot sa community center. Kailangan ng pag-aayos ng ari-arian.,Moderate
May naiulat na nawawalang gamit sa komersyal na distrito. Ibinigay ang gamit para sa pag-iingat.,Low
May naganap na smugglin sa park. Nakatakas ang suspetsado.,High
kidnapin in progress at kapitbahayan. Suspect actively harming victim.,Immediate
May naiulat na gulo sa residential area. Maliit na pinsala ang naganap.,Moderate
kidnap that occurred at kanto. Suspects fled before police arrival.,High
May patuloy na baril sa kapitbahayan. Maraming biktima ang kasama.,Immediate
May reklamo ng ingay sa gusali. Maingay na musika mula sa kapitbahay.,Low
murder in progress at building. Suspect actively harming victim.,Immediate
Suspect with bomb threatening people at kapitbahayan. Active threat.,Immediate
Active gun crime at market. Suspects still at scene.,Immediate
May reklamo ng takutan sa apartment. Walang agarang panganib.,Moderate
"fraud discovered at residential area. Evidence collected, suspect identified.",High
May malaking kaso ng holdapin sa kapitbahayan. Maraming biktima ang apektado.,High
"breaking and entering issue at market. Routine matter, no urgency.",Moderate
May naiulat na ingay sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
"assault discovered at neighborhood. Evidence collected, suspect identified.",High
disturbance reported at neighborhood. Minor damage occurred.,Moderate
May takutan sa community center. Non-violent na insidente ang naganap.,Moderate
May ulat ng reklamo sa kanto. Para lamang sa insurance.,Low
routine report at park. For insurance purposes only.,Low
May routine check sa barangay. Kailangan ng administrative service.,Low
"disorderly at street corner. Verbal incident, no physical harm.",Moderate
drug cartel that occurred at park. Suspects fled before police arrival.,High
May paglabag sa parking sa community center. Mali ang pag-park ng sasakyan.,Low
theft incident at mall. Situation resolved peacefully.,Moderate
May insidente ng guluhin sa apartment. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May pag-atake ng bomba na nangyayari sa apartment. Naipit ang mga tao sa loob.,Immediate
Routine check at park. Administrative service needed.,Low
May malaking kaso ng kotongan sa barangay. Maraming biktima ang apektado.,High
"May tanong tungkol sa maliit na paglabag sa palengke. Hiling ng impormasyon, hindi kagyatan.",Low
disturbance at street corner. Non-violent incident occurred.,Moderate
Serious attack operation at commercial district. Significant damage occurred.,High
loitering complaint at apartment. No immediate danger.,Moderate
"disorderly at commercial district. Suspect fled, no victims present.",Moderate
harassment situation at mall. Property maintenance needed.,Moderate
terrorist in progress at church. Suspect actively harming victim.,Immediate
"May guluhin sa gusali. Nakatakas ang suspetsado, walang biktima.",Moderate
May routine check sa community center. Kailangan ng administrative service.,Low
Ongoing violence at kanto. Multiple victims involved.,Immediate
May organisadong korupsyon sa palengke. Malaking imbestigasyon ang isinasagawa.,High
May ingay na kaguluhan sa park. Umalis ang suspetsado sa lugar.,Moderate
May paglabag sa parking sa park. Mali ang pag-park ng sasakyan.,Low
May ingay sa kapitbahayan. Maliit na halaga ng gamit ang kasama.,Moderate
May nakaw sa paaralan. Maliit na halaga ng gamit ang kasama.,Moderate
Organized corruption at mall. Major investigation underway.,High
Active saksak happening at community center. Victim in immediate danger.,Immediate
May insidente ng away sa community center. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May aktibong saksakin na krimen sa mall. Nandiyan pa ang mga suspetsado.,Immediate
May aktibong bomba na sitwasyon sa kanto. Kailangan ng agad na tugon.,Immediate
Minor complaint at mall. Routine maintenance needed.,Low
May nangyayaring kidnap sa kanto. Kailangan ng emergency response.,Immediate
May nangyayaring rapein sa paaralan. Kailangan ng emergency response.,Immediate
"May natuklasang kotongan sa community center. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May insidente ng pananakot sa park. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"theft issue at street corner. Routine matter, no urgency.",Moderate
May aktibong rapein na sitwasyon sa community center. Kailangan ng agad na tugon.,Immediate
harassment incident at building. Situation resolved peacefully.,Moderate
Suspect with kidnapin threatening people at school. Active threat.,Immediate
saksak incident at school. Suspect still present and armed.,Immediate
breaking and entering disturbance at kanto. Suspect left the area.,Moderate
"property complaint at community center. Routine matter, no urgency.",Low
"May reklamo ng nawawalang gamit sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Low
May organisadong pamamaril sa palengke. Malaking imbestigasyon ang isinasagawa.,High
"sexual assault discovered at kapitbahayan. Evidence collected, suspect identified.",High
"complaint at street corner. Non-violent incident, low priority.",Low
General minor violation at kanto. No immediate action needed.,Low
Minor noise at residential area. Routine maintenance needed.,Low
May naiulat na nakaw sa kapitbahayan. Maliit na pinsala ang naganap.,Moderate
"May nawawalang gamit sa palengke. Maliit na paglabag, walang banta.",Low
May nangyayaring shooting sa gusali. Kailangan ng emergency response.,Immediate
"May gulo sa residential area. Nakatakas ang suspetsado, walang biktima.",Moderate
complaint report at commercial district. For insurance purposes only.,Low
May patuloy na baril sa mall. Maraming biktima ang kasama.,Immediate
"May isyu ng gulo sa kapitbahayan. Karaniwang bagay, walang kagyatan.",Moderate
May routine check sa mall. Kailangan ng administrative service.,Low
vandalism complaint at street corner. No immediate danger.,Moderate
"May kaso ng pusher sa mall. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
"parking violation at street corner. Verbal incident, no physical harm.",Moderate
May guluhin sa residential area. Maliit na halaga ng gamit ang kasama.,Moderate
harassment incident at mall. Situation resolved peacefully.,Moderate
"Serious smuggling reported at neighborhood. Victim hospitalized, investigation ongoing.",High
Major fraud case at building. Multiple victims affected.,High
"May reklamo sa gusali. Maliit na paglabag, walang banta.",Low
May organisadong pamamaril sa residential area. Malaking imbestigasyon ang isinasagawa.,High
"May kaso ng pamamaril sa residential area. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May terrorist na nangyayari ngayon sa komersyal na distrito. Kailangan ng agad na tulong ang mga biktima.,Immediate
May aktibong terorista na krimen sa palengke. Nandiyan pa ang mga suspetsado.,Immediate
"fight issue at church. Routine matter, no urgency.",Moderate
May maliit na pag-aayos sa barangay. Kailangan ng karaniwang pag-aayos.,Low
